,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,30-Apr-2021,EQ,"28,340.00","28,432.35","27,808.15","28,444.35","27,900.00","27,910.50","28,113.30","32,048.00","18,000.00",32147,"903,758,386.00",12546
1,29-Apr-2021,EQ,"28,701.05","29,050.00","28,249.40","28,687.55","28,495.00","28,444.35","28,594.99","32,048.00","18,000.00",47589,"1,360,806,898.05",15880
2,28-Apr-2021,EQ,"28,180.00","28,781.00","28,105.10","28,098.55","28,600.00","28,687.55","28,506.59","32,048.00","18,000.00",33961,"968,112,464.60",11208
3,27-Apr-2021,EQ,"28,185.70","28,325.00","27,965.00","28,062.60","28,063.20","28,098.55","28,087.65","32,048.00","18,000.00",31369,"881,081,464.80",9763
4,26-Apr-2021,EQ,"28,249.00","28,444.15","27,951.05","28,106.30","28,050.00","28,062.60","28,138.76","32,048.00","18,000.00",40346,"1,135,286,257.40",15326
5,23-Apr-2021,EQ,"28,499.00","28,673.35","27,926.00","28,521.95","28,080.00","28,106.30","28,143.96","32,048.00","18,000.00",70968,"1,997,320,451.80",24267
6,22-Apr-2021,EQ,"29,200.00","29,200.00","28,083.35","29,320.70","28,509.15","28,521.95","28,407.89","32,048.00","18,000.00",83043,"2,359,076,487.00",25809
7,20-Apr-2021,EQ,"30,420.00","30,655.80","29,051.00","30,057.75","29,230.00","29,320.70","29,554.29","32,048.00","18,000.00",72618,"2,146,173,243.10",22592
8,19-Apr-2021,EQ,"30,001.05","30,490.30","29,557.30","30,821.10","30,022.95","30,057.75","29,956.49","32,048.00","18,000.00",52945,"1,586,046,295.95",18095
9,16-Apr-2021,EQ,"30,440.00","30,988.80","30,056.15","30,305.40","30,612.20","30,821.10","30,658.26","32,048.00","16,222.30",58345,"1,788,756,463.30",19632
10,15-Apr-2021,EQ,"30,599.00","30,896.05","29,514.00","30,356.05","30,400.00","30,305.40","30,067.57","32,048.00","16,222.30",72414,"2,177,313,062.85",24202
11,13-Apr-2021,EQ,"30,200.00","30,699.90","30,110.00","29,881.05","30,420.95","30,356.05","30,382.43","32,048.00","16,222.30",91665,"2,785,005,211.65",29098
12,12-Apr-2021,EQ,"31,200.00","31,497.40","29,757.85","31,748.75","30,198.60","29,881.05","30,337.24","32,048.00","16,222.30",114698,"3,479,620,443.10",33755
13,09-Apr-2021,EQ,"31,682.40","31,990.00","31,120.00","31,582.65","31,601.45","31,748.75","31,573.09","32,048.00","15,882.15",146698,"4,631,708,558.65",27457
14,08-Apr-2021,EQ,"30,260.00","32,048.00","30,260.00","30,230.65","31,680.00","31,582.65","31,379.69","32,048.00","15,882.15",148094,"4,647,143,146.70",43801
15,07-Apr-2021,EQ,"30,140.00","30,580.70","29,953.00","30,114.10","30,251.40","30,230.65","30,274.36","30,628.40","15,882.15",40554,"1,227,746,197.50",16266
16,06-Apr-2021,EQ,"30,375.00","30,500.00","30,010.35","30,358.25","30,150.00","30,114.10","30,242.64","30,628.40","15,882.15",52886,"1,599,412,353.85",19536
17,05-Apr-2021,EQ,"29,900.00","30,628.40","29,650.00","29,951.95","30,375.00","30,358.25","30,193.46","30,628.40","15,882.15",124392,"3,755,825,310.30",30244
18,01-Apr-2021,EQ,"29,570.00","30,279.50","29,445.40","29,465.40","29,850.00","29,951.95","29,867.12","30,279.50","15,410.00",52771,"1,576,117,902.15",15708
19,31-Mar-2021,EQ,"29,094.45","29,660.00","28,756.00","29,094.45","29,410.00","29,465.40","29,402.63","29,660.00","15,410.00",82764,"2,433,478,909.35",23094
20,30-Mar-2021,EQ,"28,500.00","29,500.00","28,301.80","28,116.20","29,500.00","29,094.45","29,081.01","29,500.00","15,410.00",94570,"2,750,191,106.45",31530
21,26-Mar-2021,EQ,"27,810.70","28,319.95","27,673.05","27,580.35","28,150.00","28,116.20","28,100.69","29,090.00","15,410.00",74139,"2,083,356,954.40",19435
22,25-Mar-2021,EQ,"27,900.00","28,139.95","27,264.95","27,803.30","27,570.00","27,580.35","27,648.95","29,090.00","15,410.00",64357,"1,779,403,394.40",23213
23,24-Mar-2021,EQ,"28,172.00","28,390.65","27,719.90","28,312.20","27,840.00","27,803.30","27,979.25","29,090.00","15,410.00",63069,"1,764,623,287.10",22102
24,23-Mar-2021,EQ,"26,951.00","28,500.00","26,951.00","26,954.50","28,400.00","28,312.20","27,888.35","29,090.00","15,410.00",123156,"3,434,617,997.65",36013
25,22-Mar-2021,EQ,"26,900.00","27,214.15","26,618.00","26,936.70","26,940.15","26,954.50","26,868.11","29,090.00","15,410.00",45373,"1,219,086,857.80",14318
26,19-Mar-2021,EQ,"26,455.00","27,118.25","26,100.00","26,595.50","26,899.20","26,936.70","26,668.83","29,090.00","15,410.00",74153,"1,977,574,029.05",21067
27,18-Mar-2021,EQ,"27,125.00","27,269.95","26,450.00","26,842.20","26,669.75","26,595.50","26,825.96","29,090.00","15,410.00",38464,"1,031,833,732.95",14310
28,17-Mar-2021,EQ,"27,431.10","27,550.00","26,710.90","27,430.80","26,900.00","26,842.20","27,045.39","29,090.00","15,410.00",38409,"1,038,786,229.95",14658
29,16-Mar-2021,EQ,"27,895.00","27,948.25","27,351.10","27,644.55","27,360.00","27,430.80","27,614.11","29,090.00","15,410.00",38175,"1,054,168,816.10",13226
30,15-Mar-2021,EQ,"27,811.50","27,850.00","27,005.10","27,701.50","27,713.00","27,644.55","27,394.64","29,090.00","15,410.00",32587,"892,709,015.25",12679
31,12-Mar-2021,EQ,"27,878.00","27,980.00","27,541.00","27,555.80","27,630.00","27,701.50","27,713.65","29,090.00","15,410.00",43864,"1,215,631,389.25",15175
32,10-Mar-2021,EQ,"27,538.90","27,693.85","27,300.00","27,313.15","27,580.00","27,555.80","27,483.05","29,090.00","15,410.00",29812,"819,324,580.55",9961
33,09-Mar-2021,EQ,"27,445.00","27,980.00","27,151.85","27,185.05","27,250.00","27,313.15","27,551.34","29,090.00","15,410.00",59204,"1,631,149,690.60",18235
34,08-Mar-2021,EQ,"27,900.00","28,486.95","27,093.20","27,848.60","27,240.00","27,185.05","27,698.57","29,090.00","15,410.00",57156,"1,583,139,475.15",18881
35,05-Mar-2021,EQ,"28,300.50","28,894.85","27,740.95","28,676.60","27,850.00","27,848.60","28,271.57","29,090.00","15,410.00",65557,"1,853,399,458.25",22241
36,04-Mar-2021,EQ,"27,450.00","28,850.00","27,335.05","27,695.25","28,500.00","28,676.60","28,284.49","29,090.00","15,410.00",83170,"2,352,420,986.25",22747
37,03-Mar-2021,EQ,"27,755.50","28,159.55","27,550.75","27,658.75","27,678.90","27,695.25","27,826.51","29,090.00","15,410.00",40649,"1,131,119,983.05",13219
38,02-Mar-2021,EQ,"27,710.00","27,800.00","27,280.05","27,706.95","27,755.00","27,658.75","27,542.55","29,090.00","15,410.00",39347,"1,083,716,555.05",15176
39,01-Mar-2021,EQ,"26,600.50","27,832.50","26,600.50","26,501.70","27,665.00","27,706.95","27,249.12","29,090.00","15,410.00",58805,"1,602,384,413.60",19449
40,26-Feb-2021,EQ,"27,450.90","27,720.50","26,169.90","27,450.90","26,236.10","26,501.70","26,903.39","29,090.00","15,410.00",76766,"2,065,265,500.45",25498
41,25-Feb-2021,EQ,"27,553.00","27,879.90","27,238.30","27,553.00","27,485.35","27,450.90","27,509.62","29,090.00","15,410.00",52154,"1,434,736,624.95",15248
42,24-Feb-2021,EQ,"27,313.25","27,849.95","26,500.00","27,260.35","27,650.00","27,553.00","27,269.47","29,090.00","15,410.00",17368,"473,616,169.60",6474
43,23-Feb-2021,EQ,"27,165.00","27,532.05","26,770.00","27,090.85","27,379.80","27,260.35","27,151.82","29,090.00","15,410.00",46471,"1,261,772,420.75",14764
44,22-Feb-2021,EQ,"27,615.00","27,750.00","26,927.80","27,542.45","26,947.60","27,090.85","27,354.64","29,090.00","15,410.00",28369,"776,023,708.75",10339
45,19-Feb-2021,EQ,"27,649.95","27,857.45","26,753.35","27,623.35","27,529.00","27,542.45","27,508.45","29,090.00","15,410.00",50262,"1,382,629,723.25",18216
46,18-Feb-2021,EQ,"28,580.00","28,580.00","27,358.60","28,268.50","27,740.00","27,623.35","27,801.86","29,090.00","15,410.00",63910,"1,776,816,884.05",20322
47,17-Feb-2021,EQ,"28,569.40","28,840.45","28,150.05","28,597.40","28,340.00","28,268.50","28,508.59","29,090.00","15,410.00",41156,"1,173,299,374.80",11493
48,16-Feb-2021,EQ,"28,653.25","29,090.00","28,426.10","28,653.25","28,720.00","28,597.40","28,784.85","29,090.00","15,410.00",70319,"2,024,121,952.05",22650
49,15-Feb-2021,EQ,"28,184.95","28,840.00","28,101.35","27,965.85","28,639.95","28,653.25","28,519.72","28,840.00","15,410.00",61303,"1,748,344,235.70",17348
50,12-Feb-2021,EQ,"28,200.00","28,475.00","27,800.00","28,344.20","28,000.50","27,965.85","28,110.19","28,599.10","15,410.00",57620,"1,619,708,874.45",15452
51,11-Feb-2021,EQ,"28,268.00","28,500.00","28,010.25","28,293.75","28,150.15","28,344.20","28,249.27","28,599.10","15,410.00",54109,"1,528,539,800.35",15077
52,10-Feb-2021,EQ,"28,245.00","28,596.00","27,853.05","28,165.80","28,270.00","28,293.75","28,206.36","28,599.10","15,410.00",86564,"2,441,655,314.40",23159
53,09-Feb-2021,EQ,"27,360.10","28,599.10","27,360.10","28,022.20","28,250.50","28,165.80","28,154.19","28,599.10","15,410.00",137375,"3,867,681,857.00",30898
54,08-Feb-2021,EQ,"26,907.15","28,287.50","26,750.05","26,722.85","27,950.05","28,022.20","27,831.80","28,287.50","15,410.00",183938,"5,119,326,326.35",32393
55,05-Feb-2021,EQ,"27,112.50","27,286.95","26,614.05","27,091.00","26,722.00","26,722.85","26,938.49","27,329.25","15,410.00",63260,"1,704,129,143.30",19678
56,04-Feb-2021,EQ,"25,990.00","27,329.25","25,607.60","25,994.40","27,250.00","27,091.00","26,712.85","27,329.25","15,410.00",135104,"3,609,012,962.60",35433
57,03-Feb-2021,EQ,"26,400.00","26,579.00","25,731.05","26,432.55","26,000.00","25,994.40","26,170.70","26,650.00","15,410.00",110699,"2,897,070,002.50",30301
58,02-Feb-2021,EQ,"24,543.60","26,650.00","24,200.55","24,543.60","26,333.50","26,432.55","25,942.60","26,650.00","15,410.00",188876,"4,899,933,621.85",48663
59,01-Feb-2021,EQ,"23,100.00","24,690.45","22,711.95","22,773.35","24,600.00","24,543.60","23,713.69","25,979.50","15,410.00",112280,"2,662,573,190.35",30036
60,29-Jan-2021,EQ,"23,250.00","23,294.55","22,531.00","23,106.30","22,550.00","22,773.35","22,966.73","25,979.50","15,410.00",58005,"1,332,184,928.50",17700
61,28-Jan-2021,EQ,"22,745.00","23,189.85","22,670.65","22,820.20","22,950.30","23,106.30","22,948.51","25,979.50","15,410.00",41756,"958,237,951.60",16349
62,27-Jan-2021,EQ,"23,270.00","23,399.55","22,745.20","23,255.65","22,919.00","22,820.20","22,987.40","25,979.50","15,410.00",62620,"1,439,471,208.35",18412
63,25-Jan-2021,EQ,"24,050.00","24,050.00","23,160.80","23,694.30","23,225.00","23,255.65","23,538.36","25,979.50","15,410.00",55464,"1,305,531,741.40",17693
64,22-Jan-2021,EQ,"23,799.00","24,142.00","23,612.45","23,719.00","23,710.25","23,694.30","23,894.24","25,979.50","15,410.00",52209,"1,247,494,458.70",18390
65,21-Jan-2021,EQ,"24,075.00","24,299.80","23,602.00","23,979.95","23,791.00","23,719.00","23,980.28","25,979.50","15,410.00",51819,"1,242,634,169.75",16616
66,20-Jan-2021,EQ,"24,470.00","24,470.00","23,835.65","24,374.50","23,930.00","23,979.95","24,057.50","25,979.50","15,410.00",48477,"1,166,235,666.45",13573
67,19-Jan-2021,EQ,"23,801.00","24,474.85","23,789.00","23,846.90","24,340.00","24,374.50","24,104.62","25,979.50","15,410.00",38386,"925,279,993.10",13799
68,18-Jan-2021,EQ,"24,400.00","24,400.00","23,610.00","24,413.80","23,700.00","23,846.90","23,832.51","25,979.50","15,410.00",41808,"996,389,580.80",13735
69,15-Jan-2021,EQ,"24,720.00","24,844.70","24,212.85","24,855.60","24,361.50","24,413.80","24,433.79","25,979.50","15,410.00",35232,"860,851,394.80",12780
70,14-Jan-2021,EQ,"24,802.00","24,913.85","24,475.00","24,726.40","24,724.05","24,855.60","24,732.68","25,979.50","15,410.00",34671,"857,506,803.40",12229
71,13-Jan-2021,EQ,"25,585.00","25,600.00","24,567.50","25,369.10","24,650.00","24,726.40","24,916.69","25,979.50","15,410.00",71497,"1,781,468,540.05",20622
72,12-Jan-2021,EQ,"25,549.00","25,890.00","25,221.00","25,569.30","25,354.95","25,369.10","25,627.97","25,979.50","15,410.00",47467,"1,216,482,706.15",15906
73,11-Jan-2021,EQ,"25,800.00","25,950.00","25,400.00","25,813.40","25,400.05","25,569.30","25,674.15","25,979.50","15,410.00",58276,"1,496,186,830.20",18414
74,08-Jan-2021,EQ,"24,960.00","25,979.50","24,960.00","25,002.15","25,814.00","25,813.40","25,532.74","25,979.50","15,410.00",76285,"1,947,765,291.25",20347
75,07-Jan-2021,EQ,"24,715.00","25,200.00","24,659.85","24,824.35","25,025.00","25,002.15","24,973.74","25,655.50","15,410.00",73979,"1,847,532,161.35",20558
76,06-Jan-2021,EQ,"24,084.00","24,947.40","23,850.00","23,895.50","24,699.00","24,824.35","24,422.41","25,655.50","15,410.00",73142,"1,786,303,595.25",20190
77,05-Jan-2021,EQ,"24,199.00","24,199.00","23,701.05","24,034.20","23,922.00","23,895.50","23,890.98","25,655.50","15,410.00",47363,"1,131,548,365.00",14320
78,04-Jan-2021,EQ,"24,140.00","24,225.00","23,862.00","23,950.30","24,089.00","24,034.20","24,058.89","25,655.50","15,410.00",39942,"960,960,248.95",13790
79,01-Jan-2021,EQ,"24,050.00","24,276.50","23,865.00","24,013.20","23,990.00","23,950.30","24,029.91","25,655.50","15,410.00",50972,"1,224,852,629.15",12927
80,31-Dec-2020,EQ,"24,361.00","24,533.75","23,866.00","24,599.95","24,000.00","24,013.20","24,147.04","25,655.50","15,410.00",85988,"2,076,355,982.10",20011
81,30-Dec-2020,EQ,"23,872.30","24,701.60","23,750.00","23,839.65","24,549.85","24,599.95","24,220.67","25,655.50","15,410.00",57743,"1,398,574,203.60",14739
82,29-Dec-2020,EQ,"23,875.00","23,906.75","23,680.00","23,715.55","23,825.00","23,839.65","23,803.57","25,655.50","15,410.00",30966,"737,101,365.65",8499
83,28-Dec-2020,EQ,"24,000.00","24,109.95","23,571.05","23,826.75","23,745.00","23,715.55","23,768.17","25,655.50","15,410.00",58822,"1,398,091,240.00",16983
84,24-Dec-2020,EQ,"24,190.00","24,259.95","23,554.10","23,894.40","23,786.50","23,826.75","23,843.37","25,655.50","15,410.00",47939,"1,143,027,436.30",13574
85,23-Dec-2020,EQ,"23,916.70","24,240.00","23,830.90","23,916.70","23,950.00","23,894.40","23,983.10","25,655.50","15,410.00",30687,"735,969,404.80",8478
86,22-Dec-2020,EQ,"23,717.50","24,070.25","23,389.05","23,717.50","23,833.25","23,916.70","23,732.44","25,655.50","15,410.00",47637,"1,130,542,373.55",15422
87,21-Dec-2020,EQ,"24,550.00","24,550.00","23,249.15","24,574.40","23,750.00","23,717.50","24,003.61","25,655.50","15,410.00",55774,"1,338,777,537.30",16544
88,18-Dec-2020,EQ,"24,500.00","24,732.05","24,301.80","24,510.40","24,648.95","24,574.40","24,559.34","25,655.50","15,410.00",106488,"2,615,275,107.10",15330
89,17-Dec-2020,EQ,"24,383.70","24,899.00","24,315.00","24,259.10","24,599.90","24,510.40","24,640.71","25,655.50","15,410.00",75262,"1,854,509,426.80",18668
90,16-Dec-2020,EQ,"24,389.00","24,488.90","24,145.70","24,259.65","24,310.00","24,259.10","24,327.38","25,655.50","15,410.00",53857,"1,310,199,456.25",14566
91,15-Dec-2020,EQ,"23,750.00","24,325.00","23,722.20","23,722.20","24,223.00","24,259.65","24,140.23","25,655.50","15,410.00",75628,"1,825,677,617.10",17248
92,14-Dec-2020,EQ,"23,810.00","23,986.70","23,652.00","23,805.00","23,750.00","23,722.20","23,805.52","25,655.50","15,410.00",35173,"837,311,554.35",12221
93,11-Dec-2020,EQ,"23,780.00","23,958.00","23,585.05","23,758.10","23,750.00","23,805.00","23,694.33","25,655.50","15,410.00",54705,"1,296,198,112.30",13456
94,10-Dec-2020,EQ,"24,420.70","24,499.95","23,687.40","24,420.70","23,740.20","23,758.10","23,900.08","25,655.50","15,410.00",83757,"2,001,798,841.30",18213
95,09-Dec-2020,EQ,"24,890.00","24,949.20","24,351.00","24,775.75","24,428.05","24,420.70","24,602.93","25,655.50","15,410.00",67836,"1,668,964,612.15",18289
96,08-Dec-2020,EQ,"24,950.00","25,289.95","24,735.50","24,954.15","24,756.20","24,775.75","24,926.97","25,655.50","15,410.00",59029,"1,471,414,140.60",14009
97,07-Dec-2020,EQ,"25,000.00","25,089.00","24,724.00","24,912.85","24,831.65","24,954.15","24,927.21","25,655.50","15,410.00",39743,"990,682,117.90",10261
98,04-Dec-2020,EQ,"24,951.00","25,335.00","24,820.30","24,905.15","24,939.00","24,912.85","25,058.54","25,655.50","15,410.00",63298,"1,586,155,189.95",15899
99,03-Dec-2020,EQ,"24,785.00","25,040.60","24,702.35","24,635.70","24,930.00","24,905.15","24,866.86","25,655.50","15,410.00",57012,"1,417,709,214.60",15648
100,02-Dec-2020,EQ,"24,800.00","25,043.70","24,200.00","24,908.40","24,600.00","24,635.70","24,573.59","25,655.50","15,410.00",77649,"1,908,114,806.40",22732
101,01-Dec-2020,EQ,"25,555.00","25,655.50","24,549.40","24,306.35","24,849.75","24,908.40","24,896.54","25,655.50","15,410.00",95268,"2,371,843,714.55",23180
102,27-Nov-2020,EQ,"24,473.70","24,529.05","23,351.00","24,381.15","23,811.95","24,306.35","24,300.93","25,355.00","15,410.00",190961,"4,640,529,602.25",31219
103,26-Nov-2020,EQ,"23,949.00","24,600.00","23,700.00","23,698.80","24,473.70","24,381.15","24,047.99","25,355.00","15,410.00",74560,"1,793,017,767.85",18351
104,25-Nov-2020,EQ,"24,580.00","24,695.95","23,547.05","24,243.55","23,700.00","23,698.80","24,280.96","25,355.00","15,410.00",83059,"2,016,752,133.80",22318
105,24-Nov-2020,EQ,"24,550.00","24,688.90","24,067.15","24,465.30","24,285.00","24,243.55","24,284.12","25,355.00","15,410.00",66479,"1,614,383,761.10",16209
106,23-Nov-2020,EQ,"24,000.00","24,598.95","23,987.00","23,948.70","24,320.00","24,465.30","24,423.53","25,355.00","15,410.00",65833,"1,607,874,568.20",16972
107,20-Nov-2020,EQ,"23,827.30","24,010.95","23,630.30","23,661.65","23,987.00","23,948.70","23,824.59","25,355.00","15,410.00",50600,"1,205,524,433.65",14232
108,19-Nov-2020,EQ,"24,000.00","24,287.00","23,503.60","24,069.25","23,570.05","23,661.65","23,990.47","25,355.00","15,410.00",67099,"1,609,736,724.90",14474
109,18-Nov-2020,EQ,"23,989.75","24,134.70","23,756.00","23,989.75","24,093.70","24,069.25","23,955.44","25,355.00","15,410.00",57487,"1,377,126,225.35",13918
110,17-Nov-2020,EQ,"23,525.80","24,095.00","23,400.00","23,363.25","23,900.00","23,989.75","23,851.73","25,355.00","15,410.00",87042,"2,076,102,277.95",19789
111,14-Nov-2020,EQ,"23,500.00","23,600.00","23,280.45","23,435.50","23,303.70","23,363.25","23,412.38","25,355.00","15,410.00",7626,"178,542,815.90",1886
112,13-Nov-2020,EQ,"23,529.50","23,645.20","23,205.30","23,441.60","23,400.00","23,435.50","23,391.90","25,355.00","15,410.00",73676,"1,723,421,830.00",18284
113,12-Nov-2020,EQ,"23,120.00","23,624.00","22,880.00","22,867.55","23,485.15","23,441.60","23,343.92","25,355.00","15,410.00",178595,"4,169,108,211.60",38228
114,11-Nov-2020,EQ,"22,813.00","23,130.00","22,430.00","22,762.80","22,941.05","22,867.55","22,817.85","25,355.00","15,410.00",82845,"1,890,345,118.55",19939
115,10-Nov-2020,EQ,"22,630.00","23,230.00","22,630.00","22,604.70","22,812.20","22,762.80","22,944.37","25,355.00","15,410.00",112826,"2,588,721,326.50",25795
116,09-Nov-2020,EQ,"22,280.00","22,737.45","22,059.80","22,053.05","22,737.45","22,604.70","22,371.36","25,355.00","15,410.00",67025,"1,499,440,152.25",17470
117,06-Nov-2020,EQ,"22,155.00","22,378.90","21,960.00","22,239.40","22,100.00","22,053.05","22,126.30","25,355.00","15,410.00",58031,"1,284,011,499.35",16237
118,05-Nov-2020,EQ,"22,050.00","22,328.15","21,810.00","21,910.35","22,290.00","22,239.40","22,101.21","25,355.00","15,410.00",82737,"1,828,587,684.35",22211
119,04-Nov-2020,EQ,"21,876.10","22,077.05","21,725.25","21,876.10","21,948.00","21,910.35","21,930.61","25,355.00","15,410.00",61879,"1,357,044,516.20",15434
120,03-Nov-2020,EQ,"21,821.50","21,999.95","21,671.35","21,671.35","21,890.00","21,876.10","21,862.99","25,355.00","15,410.00",49230,"1,076,315,100.50",12432
121,02-Nov-2020,EQ,"21,694.55","21,898.55","21,512.10","21,694.55","21,660.20","21,671.35","21,687.44","25,355.00","15,410.00",46682,"1,012,413,074.35",14617
122,30-Oct-2020,EQ,"21,738.00","22,050.00","21,519.95","21,677.00","21,604.55","21,694.55","21,772.81","25,355.00","15,410.00",86132,"1,875,335,704.75",22410
123,29-Oct-2020,EQ,"21,299.00","21,799.95","21,105.05","21,361.20","21,599.75","21,677.00","21,487.45","25,355.00","15,410.00",71428,"1,534,805,375.70",19011
124,28-Oct-2020,EQ,"21,560.20","21,788.00","21,231.20","21,734.35","21,231.20","21,361.20","21,502.72","25,355.00","15,410.00",80647,"1,734,129,722.45",21120
